transaction_id,date,month,quarter,channel,campaign_objective,customer_segment,lifecycle_stage,device,geo_region,ad_budget_level,campaign_daily_spend_usd,cost_attributed_usd,landing_variant,cta_variant,lead_magnet,checkout_simplified,webinar_invited,webinar_attended,new_product_offer,lead_score,converted_to_sale,days_to_close,aov_usd,revenue_usd,gross_margin_pct,gross_profit_usd,contribution_profit_usd
TX-000001,2024-01-01,2024-01,2024Q1,Email,nurture,Enterprise,known_lead,desktop,ES,organic_or_owned,4.4,0.74,baseline,standard,0,0,0,0,0,86,1,11,1329.93,1329.93,0.816,1085.22,1062.48
TX-000002,2024-01-01,2024-01,2024Q1,Facebook Ads,retargeting,Ecommerce,known_lead,desktop,ES,low,288.81,16.8,baseline,standard,0,0,0,0,0,70,1,1,1413.31,1413.31,0.672,949.74,910.94
TX-000003,2024-01-01,2024-01,2024Q1,Email,nurture,Ecommerce,known_lead,desktop,MX,organic_or_owned,0.0,0.5,baseline,standard,0,0,0,0,0,70,0,,0.0,0.0,0.819,0.0,-0.5
TX-000004,2024-01-01,2024-01,2024Q1,Afiliados,evergreen,Creator,new_visitor,tablet,ES,organic_or_owned,0.0,7.49,baseline,standard,0,0,0,0,0,49,0,,0.0,0.0,0.677,0.0,-7.49
TX-000005,2024-01-01,2024-01,2024Q1,Email,evergreen,Creator,returning_customer,mobile,ES,organic_or_owned,13.64,1.17,baseline,standard,0,0,0,0,0,88,1,12,789.67,789.67,0.755,596.2,573.03
TX-000006,2024-01-01,2024-01,2024Q1,TikTok Ads,evergreen,B2B Services,new_visitor,desktop,ES,low,301.03,6.03,baseline,standard,0,0,0,0,0,56,0,,0.0,0.0,0.706,0.0,-6.03
TX-000007,2024-01-01,2024-01,2024Q1,Facebook Ads,cold_acquisition,Creator,known_lead,mobile,MX,low,267.61,12.85,baseline,standard,0,0,0,0,0,64,0,,0.0,0.0,0.755,0.0,-12.85
TX-000008,2024-01-01,2024-01,2024Q1,Email,retargeting,SMB,new_visitor,desktop,ES,organic_or_owned,0.0,0.65,baseline,standard,0,0,0,0,0,38,0,,0.0,0.0,0.802,0.0,-0.65
TX-000009,2024-01-01,2024-01,2024Q1,Google Ads,retargeting,Enterprise,new_visitor,mobile,MX,low,205.03,9.38,baseline,standard,0,0,0,0,0,54,0,,0.0,0.0,0.728,0.0,-9.38
TX-000010,2024-01-01,2024-01,2024Q1,Email,retargeting,Ecommerce,new_visitor,desktop,ES,organic_or_owned,45.19,0.88,baseline,standard,0,0,0,0,0,70,0,,0.0,0.0,0.828,0.0,-0.88
TX-000011,2024-01-01,2024-01,2024Q1,Google Ads,retargeting,B2B Services,new_visitor,desktop,ES,low,297.66,9.02,baseline,standard,0,0,0,0,0,36,0,,0.0,0.0,0.685,0.0,-9.02
TX-000012,2024-01-01,2024-01,2024Q1,SEO / Blog,evergreen,B2B Services,known_lead,desktop,ES,organic_or_owned,0.0,2.66,baseline,standard,0,0,0,0,0,70,0,,0.0,0.0,0.788,0.0,-2.66
TX-000013,2024-01-01,2024-01,2024Q1,TikTok Ads,evergreen,Ecommerce,known_lead,mobile,AR,low,258.94,7.19,baseline,standard,0,0,0,0,0,70,0,,0.0,0.0,0.735,0.0,-7.19
TX-000014,2024-01-01,2024-01,2024Q1,TikTok Ads,cold_acquisition,SMB,new_visitor,desktop,US Hispanic,low,212.28,7.11,baseline,standard,0,0,0,0,0,35,0,,0.0,0.0,0.69,0.0,-7.11
TX-000015,2024-01-01,2024-01,2024Q1,SEO / Blog,evergreen,Enterprise,new_visitor,mobile,US Hispanic,organic_or_owned,4.55,1.72,baseline,standard,0,0,0,0,0,70,0,,0.0,0.0,0.798,0.0,-1.72
TX-000016,2024-01-01,2024-01,2024Q1,Email,nurture,B2B Services,known_lead,desktop,CO,organic_or_owned,23.04,0.46,baseline,standard,0,0,0,0,0,74,1,8,1021.2,1021.2,0.738,753.65,731.19
TX-000017,2024-01-01,2024-01,2024Q1,Afiliados,launch,SMB,returning_customer,mobile,US Hispanic,organic_or_owned,62.14,6.67,baseline,standard,0,0,0,0,0,71,0,,0.0,0.0,0.673,0.0,-6.67
TX-000018,2024-01-01,2024-01,2024Q1,Email,evergreen,Ecommerce,known_lead,tablet,CO,organic_or_owned,12.39,0.67,baseline,standard,0,0,0,0,0,72,0,,0.0,0.0,0.758,0.0,-0.67
TX-000019,2024-01-01,2024-01,2024Q1,Email,evergreen,SMB,new_visitor,desktop,ES,organic_or_owned,0.0,0.87,baseline,standard,0,0,0,0,0,41,0,,0.0,0.0,0.848,0.0,-0.87
TX-000020,2024-01-02,2024-01,2024Q1,Afiliados,evergreen,B2B Services,new_visitor,mobile,ES,organic_or_owned,47.91,5.8,baseline,standard,0,0,0,0,0,40,0,,0.0,0.0,0.665,0.0,-5.8
TX-000021,2024-01-02,2024-01,2024Q1,TikTok Ads,cold_acquisition,Enterprise,new_visitor,desktop,ES,low,186.37,9.09,baseline,standard,0,0,0,0,0,76,0,,0.0,0.0,0.672,0.0,-9.09
TX-000022,2024-01-02,2024-01,2024Q1,Google Ads,nurture,SMB,new_visitor,mobile,CL,low,149.23,11.98,baseline,standard,0,0,0,0,0,48,0,,0.0,0.0,0.685,0.0,-11.98
TX-000023,2024-01-02,2024-01,2024Q1,Email,evergreen,Creator,new_visitor,desktop,ES,organic_or_owned,0.0,0.63,baseline,standard,0,0,0,0,0,50,0,,0.0,0.0,0.812,0.0,-0.63
TX-000024,2024-01-02,2024-01,2024Q1,Email,nurture,SMB,known_lead,mobile,ES,organic_or_owned,0.0,0.56,baseline,standard,0,0,0,0,0,78,0,,0.0,0.0,0.802,0.0,-0.56
TX-000025,2024-01-02,2024-01,2024Q1,Webinar,evergreen,Creator,new_visitor,tablet,CO,organic_or_owned,0.0,6.13,baseline,standard,0,0,0,0,0,63,0,,0.0,0.0,0.685,0.0,-6.13
TX-000026,2024-01-02,2024-01,2024Q1,Facebook Ads,cold_acquisition,Ecommerce,returning_customer,desktop,ES,low,277.12,16.93,baseline,standard,0,0,0,0,0,63,0,,0.0,0.0,0.653,0.0,-16.93
TX-000027,2024-01-02,2024-01,2024Q1,Email,nurture,B2B Services,new_visitor,mobile,US Hispanic,organic_or_owned,14.68,0.84,baseline,standard,0,0,0,0,0,63,0,,0.0,0.0,0.77,0.0,-0.84
TX-000028,2024-01-02,2024-01,2024Q1,Facebook Ads,cold_acquisition,B2B Services,known_lead,desktop,ES,low,287.28,8.98,baseline,standard,0,0,0,0,0,59,0,,0.0,0.0,0.721,0.0,-8.98
TX-000029,2024-01-02,2024-01,2024Q1,SEO / Blog,nurture,Enterprise,known_lead,desktop,ES,organic_or_owned,0.0,2.49,baseline,standard,0,0,0,0,0,70,1,7,2087.26,2087.26,0.715,1492.39,1467.9
TX-000030,2024-01-02,2024-01,2024Q1,Facebook Ads,launch,Ecommerce,new_visitor,mobile,ES,low,236.45,10.01,baseline,standard,0,0,0,0,0,57,0,,0.0,0.0,0.709,0.0,-10.01
TX-000031,2024-01-02,2024-01,2024Q1,Google Ads,nurture,B2B Services,returning_customer,mobile,ES,low,180.79,11.65,baseline,standard,0,0,0,0,0,89,0,,0.0,0.0,0.705,0.0,-11.65
TX-000032,2024-01-02,2024-01,2024Q1,TikTok Ads,launch,Enterprise,new_visitor,tablet,ES,low,156.83,8.12,baseline,standard,0,0,0,0,0,57,0,,0.0,0.0,0.733,0.0,-8.12
TX-000033,2024-01-02,2024-01,2024Q1,Webinar,retargeting,Creator,known_lead,desktop,ES,organic_or_owned,0.0,6.22,baseline,standard,0,0,0,0,0,78,0,,0.0,0.0,0.735,0.0,-6.22
TX-000034,2024-01-02,2024-01,2024Q1,TikTok Ads,retargeting,Creator,returning_customer,desktop,ES,low,246.62,8.38,baseline,standard,0,0,0,0,0,71,0,,0.0,0.0,0.774,0.0,-8.38
TX-000035,2024-01-02,2024-01,2024Q1,SEO / Blog,evergreen,SMB,known_lead,desktop,US Hispanic,organic_or_owned,88.17,2.99,baseline,standard,0,0,0,0,0,62,0,,0.0,0.0,0.738,0.0,-2.99
TX-000036,2024-01-02,2024-01,2024Q1,TikTok Ads,cold_acquisition,B2B Services,new_visitor,mobile,US Hispanic,low,181.14,6.83,baseline,standard,0,0,0,0,0,62,0,,0.0,0.0,0.732,0.0,-6.83
TX-000037,2024-01-02,2024-01,2024Q1,Facebook Ads,cold_acquisition,Ecommerce,known_lead,mobile,ES,low,234.36,8.6,baseline,standard,0,0,0,0,0,63,0,,0.0,0.0,0.717,0.0,-8.6
TX-000038,2024-01-02,2024-01,2024Q1,Email,nurture,SMB,known_lead,mobile,MX,organic_or_owned,15.07,1.08,baseline,standard,0,0,0,0,0,80,0,,0.0,0.0,0.783,0.0,-1.08
TX-000039,2024-01-02,2024-01,2024Q1,Email,launch,Enterprise,known_lead,desktop,AR,organic_or_owned,26.72,0.8,baseline,standard,0,0,0,0,0,88,0,,0.0,0.0,0.768,0.0,-0.8
TX-000040,2024-01-03,2024-01,2024Q1,Email,nurture,Enterprise,known_lead,tablet,ES,organic_or_owned,18.59,0.91,baseline,standard,0,0,0,0,0,61,0,,0.0,0.0,0.749,0.0,-0.91
TX-000041,2024-01-03,2024-01,2024Q1,Afiliados,cold_acquisition,SMB,returning_customer,desktop,ES,organic_or_owned,26.36,5.28,baseline,standard,0,0,0,0,0,60,0,,0.0,0.0,0.716,0.0,-5.28
TX-000042,2024-01-03,2024-01,2024Q1,Afiliados,retargeting,Ecommerce,known_lead,desktop,ES,organic_or_owned,124.47,6.31,baseline,standard,0,0,0,0,0,63,0,,0.0,0.0,0.709,0.0,-6.31
TX-000043,2024-01-03,2024-01,2024Q1,Afiliados,evergreen,Creator,new_visitor,desktop,ES,organic_or_owned,67.25,6.9,baseline,standard,0,0,0,0,0,48,0,,0.0,0.0,0.661,0.0,-6.9
TX-000044,2024-01-03,2024-01,2024Q1,TikTok Ads,nurture,Ecommerce,new_visitor,desktop,ES,low,182.54,8.58,baseline,standard,0,0,0,0,0,60,0,,0.0,0.0,0.706,0.0,-8.58
TX-000045,2024-01-03,2024-01,2024Q1,Facebook Ads,evergreen,B2B Services,known_lead,mobile,MX,low,184.73,10.6,baseline,standard,0,0,0,0,0,63,0,,0.0,0.0,0.719,0.0,-10.6
TX-000046,2024-01-03,2024-01,2024Q1,Facebook Ads,launch,SMB,returning_customer,mobile,ES,low,325.56,16.54,baseline,standard,0,0,0,0,0,50,0,,0.0,0.0,0.685,0.0,-16.54
TX-000047,2024-01-03,2024-01,2024Q1,SEO / Blog,evergreen,Enterprise,new_visitor,desktop,ES,organic_or_owned,20.92,2.05,baseline,standard,0,0,0,0,0,52,0,,0.0,0.0,0.75,0.0,-2.05
TX-000048,2024-01-03,2024-01,2024Q1,Facebook Ads,cold_acquisition,B2B Services,known_lead,desktop,ES,low,330.95,8.63,baseline,standard,0,0,0,0,0,70,1,3,1220.81,1220.81,0.814,993.74,963.11
TX-000049,2024-01-03,2024-01,2024Q1,TikTok Ads,launch,B2B Services,known_lead,mobile,MX,low,174.07,8.13,baseline,standard,0,0,0,0,0,63,0,,0.0,0.0,0.676,0.0,-8.13
TX-000050,2024-01-03,2024-01,2024Q1,TikTok Ads,evergreen,Ecommerce,known_lead,desktop,CL,low,198.12,7.17,baseline,standard,0,0,0,0,0,45,0,,0.0,0.0,0.731,0.0,-7.17
TX-000051,2024-01-03,2024-01,2024Q1,Afiliados,evergreen,B2B Services,known_lead,desktop,MX,organic_or_owned,21.6,7.67,baseline,standard,0,0,0,0,0,76,0,,0.0,0.0,0.725,0.0,-7.67
TX-000052,2024-01-03,2024-01,2024Q1,Google Ads,retargeting,B2B Services,new_visitor,desktop,AR,low,171.63,8.76,baseline,standard,0,0,0,0,0,51,0,,0.0,0.0,0.789,0.0,-8.76
TX-000053,2024-01-03,2024-01,2024Q1,SEO / Blog,launch,SMB,known_lead,desktop,US Hispanic,organic_or_owned,0.0,2.18,baseline,standard,0,0,0,0,0,31,0,,0.0,0.0,0.745,0.0,-2.18
TX-000054,2024-01-03,2024-01,2024Q1,TikTok Ads,retargeting,SMB,known_lead,desktop,ES,low,113.31,8.71,baseline,standard,0,0,0,0,0,73,0,,0.0,0.0,0.806,0.0,-8.71
TX-000055,2024-01-03,2024-01,2024Q1,Webinar,evergreen,Ecommerce,new_visitor,desktop,CO,organic_or_owned,0.0,5.92,baseline,standard,0,0,0,0,0,57,0,,0.0,0.0,0.704,0.0,-5.92
TX-000056,2024-01-04,2024-01,2024Q1,Google Ads,cold_acquisition,B2B Services,known_lead,mobile,MX,low,277.51,11.57,baseline,standard,0,0,0,0,0,73,0,,0.0,0.0,0.673,0.0,-11.57
TX-000057,2024-01-04,2024-01,2024Q1,Facebook Ads,cold_acquisition,Ecommerce,known_lead,mobile,CO,low,277.98,13.33,baseline,standard,0,0,0,0,0,69,0,,0.0,0.0,0.7,0.0,-13.33
TX-000058,2024-01-04,2024-01,2024Q1,SEO / Blog,evergreen,B2B Services,new_visitor,mobile,CO,organic_or_owned,0.0,2.34,baseline,standard,0,0,0,0,0,54,0,,0.0,0.0,0.742,0.0,-2.34
TX-000059,2024-01-04,2024-01,2024Q1,Facebook Ads,cold_acquisition,Ecommerce,new_visitor,mobile,CL,low,180.05,9.12,baseline,standard,0,0,0,0,0,53,0,,0.0,0.0,0.725,0.0,-9.12
TX-000060,2024-01-04,2024-01,2024Q1,TikTok Ads,evergreen,Enterprise,new_visitor,desktop,US Hispanic,low,129.08,7.64,baseline,standard,0,0,0,0,0,56,0,,0.0,0.0,0.701,0.0,-7.64
TX-000061,2024-01-04,2024-01,2024Q1,Google Ads,cold_acquisition,B2B Services,new_visitor,tablet,ES,low,129.75,8.69,baseline,standard,0,0,0,0,0,57,0,,0.0,0.0,0.669,0.0,-8.69
TX-000062,2024-01-04,2024-01,2024Q1,Facebook Ads,retargeting,B2B Services,returning_customer,mobile,ES,low,173.67,12.16,baseline,standard,0,0,0,0,0,42,0,,0.0,0.0,0.694,0.0,-12.16
TX-000063,2024-01-04,2024-01,2024Q1,Facebook Ads,nurture,Enterprise,new_visitor,mobile,ES,low,229.38,11.08,baseline,standard,0,0,0,0,0,64,0,,0.0,0.0,0.721,0.0,-11.08
TX-000064,2024-01-04,2024-01,2024Q1,SEO / Blog,launch,SMB,known_lead,desktop,US Hispanic,organic_or_owned,0.0,1.4,baseline,standard,0,0,0,0,0,50,0,,0.0,0.0,0.763,0.0,-1.4
TX-000065,2024-01-04,2024-01,2024Q1,Webinar,launch,Ecommerce,returning_customer,mobile,MX,organic_or_owned,0.0,8.04,baseline,standard,0,0,0,0,0,65,0,,0.0,0.0,0.751,0.0,-8.04
TX-000066,2024-01-04,2024-01,2024Q1,Facebook Ads,evergreen,Enterprise,new_visitor,mobile,US Hispanic,low,290.52,8.08,baseline,standard,0,0,0,0,0,61,0,,0.0,0.0,0.688,0.0,-8.08
TX-000067,2024-01-04,2024-01,2024Q1,Facebook Ads,launch,Ecommerce,known_lead,mobile,CL,low,363.97,10.92,baseline,standard,0,0,0,0,0,60,0,,0.0,0.0,0.686,0.0,-10.92
TX-000068,2024-01-04,2024-01,2024Q1,TikTok Ads,evergreen,Ecommerce,new_visitor,mobile,AR,low,234.0,11.03,baseline,standard,0,0,0,0,0,51,0,,0.0,0.0,0.741,0.0,-11.03
TX-000069,2024-01-04,2024-01,2024Q1,Email,retargeting,B2B Services,new_visitor,mobile,CL,organic_or_owned,0.0,0.63,baseline,standard,0,0,0,0,0,62,0,,0.0,0.0,0.821,0.0,-0.63
TX-000070,2024-01-04,2024-01,2024Q1,Facebook Ads,retargeting,Ecommerce,known_lead,desktop,AR,low,250.88,11.02,baseline,standard,0,0,0,0,0,64,0,,0.0,0.0,0.655,0.0,-11.02
TX-000071,2024-01-04,2024-01,2024Q1,Google Ads,cold_acquisition,SMB,new_visitor,desktop,ES,low,272.96,8.88,baseline,standard,0,0,0,0,0,44,0,,0.0,0.0,0.694,0.0,-8.88
TX-000072,2024-01-04,2024-01,2024Q1,SEO / Blog,evergreen,Ecommerce,returning_customer,desktop,ES,organic_or_owned,15.59,2.22,baseline,standard,0,0,0,0,0,70,1,18,859.93,859.93,0.796,684.5,660.28
TX-000073,2024-01-04,2024-01,2024Q1,TikTok Ads,evergreen,B2B Services,new_visitor,mobile,ES,low,278.8,10.2,baseline,standard,0,0,0,0,0,62,0,,0.0,0.0,0.726,0.0,-10.2
TX-000074,2024-01-04,2024-01,2024Q1,SEO / Blog,cold_acquisition,B2B Services,new_visitor,desktop,US Hispanic,organic_or_owned,0.0,1.42,baseline,standard,0,0,0,0,0,41,0,,0.0,0.0,0.721,0.0,-1.42
TX-000075,2024-01-05,2024-01,2024Q1,TikTok Ads,cold_acquisition,SMB,known_lead,desktop,ES,low,211.91,6.87,baseline,standard,0,0,0,0,0,42,1,5,716.31,716.31,0.716,512.88,484.01
TX-000076,2024-01-05,2024-01,2024Q1,TikTok Ads,evergreen,B2B Services,known_lead,desktop,ES,low,202.11,7.97,baseline,standard,0,0,0,0,0,55,0,,0.0,0.0,0.803,0.0,-7.97
TX-000077,2024-01-05,2024-01,2024Q1,SEO / Blog,evergreen,Ecommerce,returning_customer,mobile,MX,organic_or_owned,0.0,2.06,baseline,standard,0,0,0,0,0,73,0,,0.0,0.0,0.787,0.0,-2.06
TX-000078,2024-01-05,2024-01,2024Q1,Webinar,evergreen,Enterprise,new_visitor,tablet,ES,organic_or_owned,0.0,7.04,baseline,standard,0,0,0,0,0,81,0,,0.0,0.0,0.744,0.0,-7.04
TX-000079,2024-01-05,2024-01,2024Q1,SEO / Blog,nurture,Creator,known_lead,mobile,MX,organic_or_owned,14.74,1.67,baseline,standard,0,0,0,0,0,71,0,,0.0,0.0,0.75,0.0,-1.67
TX-000080,2024-01-05,2024-01,2024Q1,Webinar,launch,SMB,new_visitor,desktop,MX,organic_or_owned,22.63,4.23,baseline,standard,0,0,0,0,0,36,0,,0.0,0.0,0.774,0.0,-4.23
TX-000081,2024-01-05,2024-01,2024Q1,Email,evergreen,Ecommerce,new_visitor,desktop,ES,organic_or_owned,0.0,0.72,baseline,standard,0,0,0,0,0,36,0,,0.0,0.0,0.775,0.0,-0.72
