decision,simulation,incremental_profit_usd,roi
Ventana conservadora,1,45152.61,2.5085
Arbitraje agresivo,1,-18886.66,-0.1988
Servicios de regulacion,1,-13006.12,-0.4645
Hibrido certificado,1,-145974.59,-1.0427
Ventana conservadora,2,54971.25,3.054
Arbitraje agresivo,2,-62580.35,-0.6587
Servicios de regulacion,2,-18874.93,-0.6741
Hibrido certificado,2,-139222.48,-0.9944
Ventana conservadora,3,51944.24,2.8858
Arbitraje agresivo,3,-22408.81,-0.2359
Servicios de regulacion,3,-27167.12,-0.9703
Hibrido certificado,3,751793.99,5.37
Ventana conservadora,4,52708.63,2.9283
Arbitraje agresivo,4,-32599.12,-0.3431
Servicios de regulacion,4,-16801.17,-0.6
Hibrido certificado,4,-128173.07,-0.9155
Ventana conservadora,5,68022.51,3.779
Arbitraje agresivo,5,-14680.7,-0.1545
Servicios de regulacion,5,-21577.6,-0.7706
Hibrido certificado,5,-116971.43,-0.8355
Ventana conservadora,6,62852.26,3.4918
Arbitraje agresivo,6,-25921.79,-0.2729
Servicios de regulacion,6,-15375.34,-0.5491
Hibrido certificado,6,-128992.45,-0.9214
Ventana conservadora,7,57553.07,3.1974
Arbitraje agresivo,7,-16185.76,-0.1704
Servicios de regulacion,7,-22592.16,-0.8069
Hibrido certificado,7,-129967.33,-0.9283
Ventana conservadora,8,72868.12,4.0482
Arbitraje agresivo,8,-31995.39,-0.3368
Servicios de regulacion,8,-15518.78,-0.5542
Hibrido certificado,8,-77855.5,-0.5561
Ventana conservadora,9,49894.48,2.7719
Arbitraje agresivo,9,-37422.33,-0.3939
Servicios de regulacion,9,-15281.77,-0.5458
Hibrido certificado,9,-145763.52,-1.0412
Ventana conservadora,10,60656.3,3.3698
Arbitraje agresivo,10,-57770.02,-0.6081
Servicios de regulacion,10,-17113.01,-0.6112
Hibrido certificado,10,-96172.26,-0.6869
Ventana conservadora,11,52915.14,2.9397
Arbitraje agresivo,11,-3434.04,-0.0361
Servicios de regulacion,11,-21982.79,-0.7851
Hibrido certificado,11,-88144.42,-0.6296
Ventana conservadora,12,56790.32,3.155
Arbitraje agresivo,12,-57590.63,-0.6062
Servicios de regulacion,12,-15400.54,-0.55
Hibrido certificado,12,-157217.38,-1.123
Ventana conservadora,13,59989.63,3.3328
Arbitraje agresivo,13,-49172.3,-0.5176
